RAAD type number;RAAD form;Origin;Contents;Southampton type number;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;;;;;;;;;;;;;;;
109;Type 1a - Gauloise 1 sim/ Hofheim 62;Germania - Rhineland;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;Type 1b - Gauloise 2 sim/Hofheim 77;Germania - Rhineland;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;Type 2a - Haltern 70 sim;Germania - Rhineland;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;Type 2b - Gauloise 3 sim;Germania - Rhineland;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;Type 2c - Gauloise 9 sim/ Hofheim 61;Germania - Rhineland;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;Type 3?;Germania - Rhineland;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;Type 3a - Haltern 71 sim;Germania - Rhineland;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;Type 3b - Dressel 20/Gauloise 4 hybrid sim;Germania - Rhineland;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;Type 4 - Gauloise 4 sim;Germania - Rhineland;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;
118;Type 5a - Stuart 132b;Germania - Rhineland;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;Type 5b - Stuart 132b;Germania - Rhineland;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;Type 6a - Vermeulen 84a/early Nb 74;Germania - Rhineland;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;Type 6b - Vermeulen 84a/early Nb 74;Germania - Rhineland;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;Type 7a - Scheldt valley imitations;Germania - Rhineland;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;Type 7b - Scheldt valley imitations;Germania - Rhineland;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;Type 7c - Niederbieber 68;Germania - Rhineland;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;Unknown;Germania - Rhineland;Unknown;;;;;;;;;;;;;;;34;;;13;;;;;;;;;;;;;;;;;;;;;16;;10;;;1;;1;;;;;31;;;;;;;;;;;;;2;;;4;;;;;;;;3;;;;;133;;;;;;;;;;;;;;;
126;Dressel 2-4/5;Germania - Switzerland;Unknown;;;;;;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;Oberaden 52;Germania - Trier;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;Camulodunum 176;Italy;Wine;50;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;5;;;;;;;;;;;;;;;;
129;Dressel 1;Italy;Wine;61;;;;;;;;;3;;;;111;;3;;;;;;18;;9;;;;;3;;;;;3;;;;;8;18;;;;;;;;;;;;;;;;;;;;;11;;;;;;465;;;1;2;1;1;5;;;;;;;;;;;;;;;;;;;;;
130;Dressel 1 early;Italy;Wine;61;;1;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;Dressel 1-5;Italy;Wine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;Dressel 1a;Italy;Wine;61;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;Dressel 1b;Italy;Wine;61;;;;;7;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;Dressel 1c;Italy;Wine;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;Dressel 2-4;Italy;Wine;78;1;1;1;;3;25;1;2;60;22;;;2;1;29;;;;;2;;;8;5;1;1;2;1;1;1;;1;12;1;2;;;84;10;;;1;;;2;1;;;25;10;;;6;3;;1;;3;1;15;;3;18;2;;37;;2;;18;21;1;;;;;2;4;;;;;;;;;;;;;;;;
136;Porto Recanati;Italy;Unknown;194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;Dressel 6a;Italy - Adriatic;Fish sauce;95;;;;;1;;;;3;;;;1;;;;;;2;;252;;;;;;;;;;;;1;;;;;6;;19;1;4;1;;6;;;;;15;6;;;;;;;4;;;;;;;;;;;;;;;1;;19;;;;;;;;;;;;;;;;;;;
138;Dressel 6b;Italy - Adriatic;Olive oil;96;1;;;;;;2;;1;;;;1;;;;;;;15;1;;;;;;;;;;;;55;;;;4;;;1;;;;;1;;;;;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;Lamboglia 2;Italy - Adriatic;Wine;159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;Unknown;Italy - Adriatic;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;Bónis 31;Italy - Adriatic?;Unknown;46;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;Giancola 6;Italy - Brindisi;Olive oil?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;Unknown;Italy - Brindisi;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;Dressel 2-4;Italy - Calabria;Wine;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;Keay 52;Italy - Calabria;Wine;145;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;Unknown;Italy - Calabria;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;Dressel 1;Italy - Campania;Wine;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;32;;;;;;;;;;;;;;;;;;;
148;Dressel 1b;Italy - Campania;Wine;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
149;Dressel 2-4;Italy - Campania;Wine;78;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;4;;1;;;1;;;;;15;16;;;;;;;;;;;;;;;;;;;;;;;;30;;;;33;;;;;;;;;;;;;;;
150;Dressel 21-22;Italy - Campania;Fruit;83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
151;Knidian imitation;Italy - Campania;Wine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
152;Unknown;Italy - Campania;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;1;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;
153;Camulodunum 139;Italy - Campania?;Wine;49;;;;1;;;;;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;Dressel 1;Italy - Etruria;Wine;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;
155;Dressel 1b;Italy - Etruria;Wine;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
156;Dressel 2-4;Italy - Etruria;Wine;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
157;Unknown;Italy - Etruria;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
158;Richborough 527/ Augst 43;Italy - Lipari;Alum;199;;;;;;;;;36;1;;;;;;;;;;;;;;;;;;;;;;;26;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
159;Aquincum 78;Italy - North;Fish sauce;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
160;Forlimpopoli;Italy - North;Unknown;104;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
161;Schörgendorfer 558;Italy - North;Olives;202;;;;;;;3;;;;;;;;;;;;;6;;;;;;;;;;;;;22;;;;;1;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
162;Camulodunum 176;Italy - Unknown;Wine;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
163;Dressel 2-4;Italy - Unknown;Wine;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
164;Unknown;Italy - Unknown;Unknown;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;6;;4;;2;1;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165;Mid Roman 1;Italy?;Wine;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;Africana I;North Africa;Olive oil;1;;;;;;;;;9;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;
167;Africana II;North Africa;Olive oil;2;;;;;;;;;6;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;
168;Africana II/III;North Africa;Olive oil/ unknown;2 or 3;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
169;Africana IIa Grande/ Keay 24;North Africa;Wine or fishsauce;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
170;Africana IIc;North Africa;Fish sauce;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
171;Africana IIIc/ Keay 25;North Africa;Unknown;9;;;;;;;;;29;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
172;Augst 15/ Dressel 30/ Keay 1A;North Africa;Wine;89;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
173;Augst 63;North Africa;Olive oil;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
174;Byzacene;North Africa;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
175;Dressel 30/ Keay 1b;North Africa;Wine;90;;;;1;;;;;28;;5;;;1;;;;4;;;;;;;;;;;;;;;;;;;;19;3;;;;;;;5;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;
176;Keay 36b;North Africa;Olive oil;139;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
177;Keay 62;North Africa;Olive oil;152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
178;Maña C/ Vindonissa 592/ Cintas 312/ Pompei XL/ Augst 61;North Africa;Fish sauce;219;;;;;2;;;;15;;;;;;;;;;;;45;;13;;;;;;;;;;;;;;;;1;1;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
179;Maña C1;North Africa;Olive oil;218;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;Spatheion 1/ Keay 26;North Africa;Olives;205;;;;;;;;;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
181;Tripolitana ancienne;North Africa;Olive oil;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
182;Unknown;North Africa;Unknown;;;;;;;;;;25;;4;;;6;;;;;;;;;;;;;;;;;;;2;;;;1;7;;;;;;;1;1;;;;1;1;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;
183;Xanten 76/25;North Africa;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
184;Unknown;North Africa - Tripl;Unknown;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
185;Dressel 2-4;North Africa - Tripolitania;Wine;69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186;Tripolitania 1;North Africa - Tripolitania;Olive oil;212;;;;;;;;;3;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
187;Tripolitania 2;North Africa - Tripolitania;Unknown;213;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;Tripolitania 3;North Africa - Tripolitania;Olive Oil;214;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
189;Tripolitanian;North Africa - Tripolitania;Olive oil?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
190;Mid Roman Amphora 1;North Africa?;Wine;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;Oberaden 85 (This is a carrot amph)/ Schöne Mau XV;North Africa?;Fruit;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;Zweihenkelkruge;Raetia;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Vindonissa 538;Iberian Peninsula;Wine;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;Dressel 1b;Iberian Peninsula - Guadalquivir;Wine;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195;Dressel 2-4;Iberian Peninsula - Guadalquivir;Wine;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;
196;Dressel 20;Iberian Peninsula - Guadalquivir;Olive oil;81;2;232;85;206;;28;11;1;1934;155;63;45;5;85;100;32;35;;9;24;453;261;354;49;852;270;237;22;192;117;13;36;777;26;128;9;3;1573;90;79;;;;;5;932;20;42;218;147;;5;64;12;19;30;1;89;31;83;32;22;96;81;7;120;;3;79;386;92;10;28;56;393;34;16;220;841;;;;;;;;;;;;;;;
197;Dressel 20 parva;Iberian Peninsula - Guadalquivir;Olive oil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;
198;Dressel 23;Iberian Peninsula - Guadalquivir;Olive oil;84;;;;3;;;;;95;;;;;4;;;1;11;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;30;;;;;;;4;;;;1;1;;;;;;;;;;;;;;;
199;Dressel 28;Iberian Peninsula - Guadalquivir;Wine;87;;;;;;1;;;26;;;;;1;1;;;;;;10;;;;;;;;;;;;;;;;;12;;2;;;;;;;;;;1;;;;1;;;;;;;2;;;1;;;;;;;37;;;;;;;;1;;;;;;;;;;;;;;;
200;Dressel 7-11;Iberian Peninsula - Guadalquivir;Fish sauce;97, 98, 99, 62, or 63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;7;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;
201;Haltern 70;Iberian Peninsula - Guadalquivir;Defrutum or olives;127;;8;;;24;26;1;;;8;;;5;7;6;;4;;;;214;;8;;1;;;5;2;1;;1;30;;7;;1;232;5;40;1;1;2;1;3;;;;;79;33;;7;4;;;;29;1;2;;;14;;;26;;1;34;3;19;1;3;;110;;1;9;86;;;;;;;;;;;;;;;
202;Haltern 71;Iberian Peninsula - Guadalquivir;Olive oil;;;;;;105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;Oberaden 83;Iberian Peninsula - Guadalquivir;Olive oil;175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;2;2;;;;56;25;96;;;;;;;;;;;;;;;;;3;;41;;;;;;;;;6;;;;;;;;;;;;;;;
204;Ovoide 4;Iberian Peninsula - Guadalquivir;Olive oil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
205;Unknown;Iberian Peninsula - Guadalquivir;unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;2;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;
206;Urceus;Iberian Peninsula - Guadalquivir;Wine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
207;Verulamium 1908;Iberian Peninsula - Guadalquivir;Olives;129;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;
208;Dressel 14;Iberian Peninsula - Lusitania;Fish sauce;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;Dressel 14;Iberian Peninsula - Lusitania;Fish sauce;64;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;Dressel 14 ancient;Iberian Peninsula - Lusitania;Fish sauce;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211;Keay 23;Iberian Peninsula - Lusitania;Unknown;;;;;;;;;;11;;4;;;;;;;3;;;;;;;;;;;;;;;;;;;;9;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
212;Salazones;Iberian Peninsula - Lusitania;Fish sauce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
213;Unknown;Iberian Peninsula - Lusitania;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;Dressel 10;Iberian Peninsula - Marismas;Fish sauce;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
215;Dressel 12;Iberian Peninsula - Marismas;Fish sauce;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
216;Dressel 7;Iberian Peninsula - Marismas;Fish sauce;97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
